qX--Trace 1::[V(7) | V(PR2)],Y--Trace 1::[V(7) | V(PR2)]
1.00001560000059,2.61631678626827
1.00003560000059,2.7615096560653
1.00005560000059,2.84388427246203
1.00007560000059,2.8820374027874
1.00009460000059,2.88873603577312
1.00011460000059,2.8699482002634
1.00013460000059,2.82838002085678
1.00015460000059,2.76286526080833
1.00017460000059,2.66572656019774
1.00019460000059,2.53000617778221
1.00021460000059,2.36365769169912
1.00023460000059,2.17572560294759
1.00025460000059,1.97322804618308
1.00027360000059,1.77591662941289
1.00029360000059,1.5692727535762
1.00031360000059,1.37182137680695
1.00033360000059,1.19135609346695
1.00035360000059,1.03419912606845
1.00037360000059,0.907866222351366
1.00039360000059,0.817676128601149
1.00041360000059,0.767583686052276
1.00043360000059,0.760011590753648
1.00045360000059,0.795736223524039
1.00047360000059,0.873842335396299
1.00049360000059,0.991740110709799
1.00051360000059,1.14525134192603
1.00053360000059,1.32875579986273
1.00055360000059,1.53539715276143
1.00057360000059,1.75733739587696
1.00059360000059,1.98605299558846
1.00061360000059,2.21265911727852
1.00063360000059,2.42819148924996
1.00065360000059,2.62172289729181
1.00067360000059,2.76531826786853
1.00069360000059,2.84625810922438
1.00071360000059,2.88344517392616
1.00073260000059,2.88939074400068
1.00075260000059,2.86994778347484
1.00077260000059,2.82779251071249
1.00079260000059,2.76164482980196
1.00081260000059,2.66364872113966
1.00083260000059,2.52706299712682
1.00085260000059,2.36003828929352
1.00087260000059,2.17157548448796
1.00089260000059,1.96870779797105
1.00091160000059,1.77120389058287
1.00093160000059,1.56453464883381
1.00095160000059,1.36724195639952
1.00097160000059,1.18612461424578
1.00099160000059,1.02958332502687
1.001,0.972594194970397
