X--Trace 1::[V(7) | V(BandwidthFilter)],Y--Trace 1::[V(7) | V(BandwidthFilter)],,X--Trace 2::[V(16) | V(HighPass)],Y--Trace 2::[V(16) | V(HighPass)],,X--Trace 3::[V(13) | V(LowPass)],Y--Trace 3::[V(13) | V(LowPass)]
10,0.00448217063894362,,10,0.00446300624715479,,10,45.6229785862022
12.5892541179417,0.00767508219159177,,12.5892541179417,0.00764033584392536,,12.5892541179417,50.8463000730514
15.8489319246111,0.0129451342079733,,15.8489319246111,0.0128845172510797,,15.8489319246111,55.2391237098015
19.9526231496888,0.021499814507754,,19.9526231496888,0.0213975920418251,,19.9526231496888,58.6751274714255
25.1188643150958,0.0352290800167983,,25.1188643150958,0.0350617794023054,,25.1188643150958,61.201721584605
31.6227766016838,0.0571123860739651,,31.6227766016838,0.0568462288189187,,31.6227766016838,62.9702789701282
39.8107170553497,0.0918575240390465,,39.8107170553497,0.0914471467112175,,39.8107170553497,64.1612890319079
50.1187233627272,0.146895316883107,,50.1187233627272,0.146288857695113,,50.1187233627272,64.9369325878331
63.0957344480194,0.233919239026894,,63.0957344480194,0.233084225858472,,63.0957344480194,65.4224693074495
79.4328234724282,0.371242675166362,,79.4328234724282,0.370251368493805,,79.4328234724282,65.7049606897184
100,0.587337632156311,,100,0.586611666601604,,100,65.8387867100257
125.892541179417,0.925971959506241,,125.892541179417,0.926937387725917,,125.892541179417,65.8521061197021
158.489319246111,1.45325112671646,,158.489319246111,1.46001985265394,,158.489319246111,65.7522315086887
199.526231496888,2.26631439974734,,199.526231496888,2.28986065125141,,199.526231496888,65.5303735649041
251.188643150958,3.50194404481506,,251.188643150958,3.57015017751402,,251.188643150958,65.1680882873992
316.227766016838,5.34037537419771,,316.227766016838,5.52131666754623,,316.227766016838,64.6491093053631
398.107170553498,7.99520025855374,,398.107170553498,8.44867647500442,,398.107170553498,63.9785926938207
501.187233627273,11.6756312670594,,501.187233627273,12.7606061553345,,501.187233627273,63.1999101434215
630.957344480194,16.5011855273931,,630.957344480194,18.9820443846145,,630.957344480194,62.3666346761917
794.328234724282,22.3253080037561,,794.328234724282,27.7150438109451,,794.328234724282,61.375692019379
1000,28.3718068977891,,1000,39.3210457321417,,1000,59.5615188413639
1258.92541179417,32.733041457758,,1258.92541179417,52.8728480832308,,1258.92541179417,55.3045161237917
1584.89319246112,32.8492082837662,,1584.89319246112,65.0240642215659,,1584.89319246112,47.014336148189
1995.26231496888,28.2306689359514,,1995.26231496888,72.2179820878765,,1995.26231496888,35.805840617657
2511.88643150958,21.4239949631111,,2511.88643150958,74.522676720977,,2511.88643150958,24.9720498592169
3162.27766016838,14.9980278510668,,3162.27766016838,74.1587439951632,,3162.27766016838,16.5098406988164
3981.07170553498,9.97159389951914,,3981.07170553498,72.6576047140226,,3981.07170553498,10.5685394175566
5011.87233627273,6.38508163950773,,5011.87233627273,70.5174086217488,,5011.87233627273,6.60180764185173
6309.57344480194,3.9561355295029,,6309.57344480194,67.7183657973123,,6309.57344480194,4.02506755881264
7943.28234724283,2.36906539404694,,7943.28234724283,64.0825397695535,,7943.28234724283,2.38499879906791
10000,1.36360573740923,,10000,59.4693627767567,,10000,1.36292210996526
12589.2541179417,0.747147629387097,,12589.2541179417,53.900282013374,,12589.2541179417,0.742720361513992
15848.9319246112,0.383553419424666,,15848.9319246112,47.6142729317602,,15848.9319246112,0.379310512036882
19952.6231496888,0.178854284857641,,19952.6231496888,41.0207279233738,,19952.6231496888,0.175577941045744
25118.8643150958,0.0699418703916221,,25118.8643150958,34.5694655998321,,25118.8643150958,0.0674091093054395
31622.7766016839,0.0170064851993232,,31622.7766016839,28.6208231769105,,31622.7766016839,0.0142690141599375
39810.7170553498,0.0122487239770804,,39810.7170553498,23.3844454130906,,39810.7170553498,0.0117108706701205
50118.7233627273,0.0202232388644319,,50118.7233627273,18.9294270028323,,50118.7233627273,0.0202994622386067
63095.7344480195,0.0218548872742668,,63095.7344480195,15.2286330788037,,63095.7344480195,0.0219498632832583
79432.8234724283,0.02040248669635,,79432.8234724283,12.20406278644,,79432.8234724283,0.0204562864145394
100000,0.0178190517221815,,100000,9.75928439796527,,100000,0.0178240740811229
